ID_REF	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
A_24_P926254	8.95632930745462	-0.0034711077243526757	0.040803018971026006	2.247798819532589e-4	0.018618131636532552	TRUE
A_24_P753414	58.060313016418455	-0.003475794600583071	0.040805189868639125	7.121596647534796e-10	1.8002153913458998e-7	TRUE
A_24_P773149	23.61804944967136	-0.003477426322203531	0.04080399743212036	4.0133387605343506e-7	5.0320149596913876e-5	TRUE
A_32_P468743	130.94597815846646	-0.0034856254409200713	0.04080692957834747	1.7280079460453658e-13	2.4430457168227584e-10	TRUE
A_24_P333461	177.34948894899762	-0.0035399375607450823	0.04081410915828582	5.4705215486465065e-15	1.6020813106750483e-11	TRUE
A_32_P464910	87.50656015413105	-0.003590652092163038	0.04082049578194362	5.938430681684453e-12	4.508808480538196e-9	TRUE
A_24_P940644	9.231274672170217	-0.0036075416151305226	0.04082227337865778	1.7349111758913476e-4	0.014757543197416026	TRUE
A_32_P75243	134.07274944043564	-0.0036210004458136513	0.04082477350408452	9.06250281700968e-14	1.4862504619895876e-10	TRUE
A_23_P412613	7.384723401033476	-0.0036353850193428104	0.0408259077919742	5.757097232450554e-4	0.04371129380193939	TRUE
A_23_P20660	132.44220741710154	-0.003637348542816623	0.04082696419102644	8.597186055714825e-14	1.4725348252530135e-10	TRUE
A_23_P66011	7.56453278786757	-0.003720761336911821	0.04083771818840482	4.5313517883889017e-4	0.03512011783061342	TRUE
A_24_P408801	10.484551716913257	-0.003724630153181457	0.04083826722532075	7.337840062182911e-5	0.006745548039226443	TRUE
A_23_P427516	172.97247850848018	-0.0037478168801999005	0.04084218552201159	1.5951095342349614e-15	7.017010222126209e-12	TRUE
A_24_P61490	143.77417112976903	-0.003780083271863725	0.040846605981562444	5.052719588286861e-15	1.5935500239981638e-11	TRUE
A_24_P478617	165.06068934212973	-0.00381378469415578	0.04085141964451389	1.7114659078356606e-15	7.017010222126209e-12	TRUE
